Journal_Name,Index_Category
ACM Journal on Computing and Cultural Heritage,SCIE/SCI/AHCI
Across Languages and Cultures,SSCI/SCI/AHCI
Acta Bioethica,SSCI/SCIE/SCI
Acta Histriae,SSCI/SCI/AHCI
Acta Linguistica Academica,SSCI/SCI/AHCI
Acta Paulista de Enfermagem,SSCI/SCIE/SCI
ACTA PSYCHIATRICA SCANDINAVICA,SSCI/SCIE/SCI
ADAPTIVE BEHAVIOR,SSCI/SCIE/SCI
ADDICTION,SSCI/SCIE/SCI
Addiction Science & Clinical Practice,SSCI/SCIE/SCI
ADDICTIVE BEHAVIORS,SSCI/SCIE/SCI
Adicciones,SSCI/SCIE/SCI
ADVANCES IN HEALTH SCIENCES EDUCATION,SSCI/SCIE/SCI
Advances in Neonatal Care,SSCI/SCIE/SCI
ADVANCES IN NURSING SCIENCE,SSCI/SCIE/SCI
Advances in Skin & Wound Care,SSCI/SCIE/SCI
Africana Linguistica,SSCI/SCI/AHCI
African Archaeological Review,SSCI/SCI/AHCI
AGGRESSIVE BEHAVIOR,SSCI/SCIE/SCI
AGING & MENTAL HEALTH,SSCI/SCIE/SCI
Agribusiness,SSCI/SCIE/SCI
Agricultural and Food Economics,SSCI/SCIE/SCI
AGRICULTURAL ECONOMICS,SSCI/SCIE/SCI
Agricultural Economics-Zemedelska Ekonomika,SSCI/SCIE/SCI
AGRICULTURAL HISTORY,SSCI/SCIE/SCI/AHCI
AGRICULTURE AND HUMAN VALUES,SSCI/SCIE/SCI
AIDS PATIENT CARE AND STDS,SSCI/SCIE/SCI
AJAR-African Journal of AIDS Research,SSCI/SCIE/SCI
ALCOHOL AND ALCOHOLISM,SSCI/SCIE/SCI
Ambix,SCIE/SCI/AHCI
AMERICAN ANTIQUITY,SSCI/SCI/AHCI
AMERICAN HISTORICAL REVIEW,SSCI/SCI/AHCI
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,SSCI/SCIE/SCI
AMERICAN JOURNAL OF BIOETHICS,SSCI/SCIE/SCI
American Journal of Biological Anthropology,SSCI/SCIE/SCI
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,SSCI/SCIE/SCI
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,SSCI/SCIE/SCI
